fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-amd64
  2016/09/23 09:49:50 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/install-store...
  2016/09/23 09:50:03 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/install-store...
  2016/09/23 09:50:06 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-writablepaths...
  2016/09/23 09:50:06 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/ubuntu-core-writablepaths...
  2016/09/23 09:50:08 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-fuse_support...
  2016/09/23 09:50:41 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-fuse_support...
  2016/09/23 09:50:42 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/interfaces-fuse_support...
  2016/09/23 09:50:44 Preparing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/install-sideload...
  2016/09/23 09:50:44 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/install-sideload...
  2016/09/23 09:50:48 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/install-sideload...
  2016/09/23 09:50:52 Executing external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/remove-errors...
  2016/09/23 09:50:54 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/remove-errors...
  2016/09/23 09:50:56 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64:tests/main/...
  2016/09/23 09:50:58 Restoring external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:50:58 Discarding external-ubuntu-core:ubuntu-core-16-device-amd64...
  2016/09/23 09:50:58 Successful tasks: 66
  2016/09/23 09:50:58 Aborted tasks: 0
