fgimenez@arkham:~/Desktop/snappy_validate_image$ spread -v external-ubuntu-core:ubuntu-core-16-device-arm
  2016/09/23 11:08:08 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-run-hook...
  2016/09/23 11:10:32 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-run-hook...
  2016/09/23 11:10:32 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/snap-run-hook...
  2016/09/23 11:10:44 Preparing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-cli...
  2016/09/23 11:10:52 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-cli...
  2016/09/23 11:10:52 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/interfaces-cli...
  2016/09/23 11:11:05 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:abort...
  2016/09/23 11:11:05 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:abort...
  2016/09/23 11:11:15 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:changes...
  2016/09/23 11:11:16 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:changes...
  2016/09/23 11:11:30 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:find...
  2016/09/23 11:11:30 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:find...
  2016/09/23 11:11:40 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:install...
  2016/09/23 11:11:40 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:install...
  2016/09/23 11:11:56 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:interfaces...
  2016/09/23 11:11:56 Restoring external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:interfaces...
  2016/09/23 11:12:05 Executing external-ubuntu-core:ubuntu-core-16-device-arm:tests/main/help:remove...
